用語,コード,カテゴリ,説明,総意率3,総意率2,総意率1,情報Ⅱ,情報Ⅰ,社情H29,情科H29,社情H25,情科H25,情報A3,情報B3,情報C3,情報A2,情報B2,情報C2,情報A1,情報B1,情報C1
情報化社会|情報社会,1,情報社会,情報が大きな重みを持つ社会,0.721 ,0.651 ,0.876 ,,実11実12実13実14開11数11数12日12,実S2数S1数S2日S1日S2数s1日s1,数J1数j1,実s2開s1数s1日s1,数j1,東A1実A1開A1教A1啓A2日A1第A1清a1日a1実d1一d1,オe1,啓C1日C1第C1教c1オf1,開a1清a1日a1第a1東d1実d1啓d1一d1暁d1オd1,オe1,教c1第c1教f1啓f1一f1オf1,東d1実d1開d1清d1啓d1一d1日d1暁d1オd1第d1,清e1オe1,教f1啓f1一f1オf1第f1
Internet|インターネット,１;４ア,情報社会,IPを用いて情報を流通させる世界にまたがるネットワーク,0.847 ,0.858 ,0.982 ,東21,東11東12実13実14開11数12日11日12第11,東S1東S2実S1開S1数S1数S2日S1日S2第S1日s1日s2,東J1実J1実J2数J1第J1日j1,東s1実s1開s1日s1日s2第s1,東j1実j1実j2日j1,東A1開A1教A1啓A2数A1日A1第A1実a1清a1一a1日a1実d1一d1,実B1開B1啓B1日B1第B1実b1教b1実e1オe1,実C1開C1啓C1日C1第C1実c1教c1一c1実f1オf1,実a1開a1教a1清a1数a1一a1日a1第a1東d1実d1教d1一d1暁d1オd1学d1,実b1開b1教b1日b1第b1実e1教e1啓e1オe1,実c1開c1教c1一c1日c1第c1実f1教f1啓f1一f1オf1,東d1実d1開d1教d1清d1数d1一d1日d1暁d1オd1第d1学d1,実e1開e1教e1清e1啓e1数e1日e1オe1学e1,実f1教f1清f1啓f1数f1一f1日f1オf1第f1
メディアリテラシー|メディア・リテラシー,１ア,情報社会,メディアを適切に使いこなす能力,1.000 ,0.850 ,0.535 ,,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1日s1,東J1数J1日J1第J1,東s1実s1実s2開s1日s1第s1,東j1,実A1実A2開A1第A1,,実C1開C1日C1第C1,東d1学d1,,開c1日c1第c1,東d1学d1,,第f1
マスメディア,１ア;２ア,情報社会,多くの人に情報を伝達するメディア。新聞、雑誌、ラジオ、テレビ等,0.767 ,0.891 ,0.628 ,東21日21,東12実11実12実13実14数11日12第11,東S1東S2実S1実S2開S1数S1日S1日S2第S1数s1日s1,数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1第s1,数j1日j1,開A1日A1第A1日a1一d1,,実C1日C1第C1,開a1日a1第a1一d1オd1,,日c1第c1教f1啓f1,開d1一d1日d1オd1第d1,,教f1啓f1日f1第f1
マスコミ|マスコミュニケーション,１ア,情報社会,マスメディアを通じて多くの人に情報を伝達すること,0.541 ,0.580 ,0.395 ,,実13数11数12日12,実S2数S1数S2日S1第S1数s1,数J1数j1,実s2数s1,数j1,,数B1,第C1,教a1教d1オd1,数b1,第c1,教d1オd1,数e1,第f1
メディア|伝送媒体|媒体,１ア;２ア,情報社会,情報を伝えたり保管・記録するもの,1.000 ,1.000 ,0.924 ,東21実21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j2数j1日j1,東A1実A1実A2開A1教A1啓A2数A1日A1第A1実a1清a1一a1日a1実d1,教b1,実C1啓C1数C1日C1第C1実c1教c1一c1実f1,実a1開a1教a1清a1数a1一a1日a1第a1東d1実d1教d1啓d1オd1学d1,教b1日b1教e1,実c1教c1数c1一c1日c1第c1実f1教f1啓f1,東d1実d1開d1教d1清d1啓d1数d1オd1第d1学d1,教e1清e1数e1,実f1教f1啓f1数f1日f1第f1
データ,１ア,情報基礎,事実や事柄等を文字などで表したもの,1.000 ,0.733 ,0.702 ,実21,東11東12実11実12実13実14開11数11数12日11日12第11,実S1実S2開S1数S1数S2第S1数s1,東J1実J1実J2数J1第J1数j1,実s1実s2開s1数s1第s1,東j1実j2数j1,教A1数A1清a1,啓B1数B1教b1オe1,第C1,清a1暁d1学d1,教b1数b1教e1オe1,開c1第c1啓f1,清d1日d1暁d1学d1,教e1清e1数e1オe1,清f1啓f1第f1
情報,１ア,情報基礎,意味を持ったデータ,0.918 ,0.787 ,0.619 ,,東11東12実11実12実13実14開11数11数12日12第11,東S1実S1実S2開S1数S1数S2日S1日S2第S1日s1,実J1実J2数J1第J1,実s1実s2開s1日s1第s1,実j2,実A1教A1数A1,啓B1数B1教b1,実C1数C1実c1教c1,教d1暁d1オd1,教b1教e1,実c1教c1教f1啓f1,教d1数d1暁d1オd1,教e1数e1,教f1清f1啓f1数f1
情報源,１ア,情報基礎,情報の出どころ,0.426 ,0.483 ,0.498 ,,開11数11数12,数S1数S2日S2数s1日s1,数J1数j1,数s1日s1,数j1,教A1数A1日A1日a1,,数C1教c1,教a1数a1日a1教d1,教e1,教c1日c1教f1,教d1日d1,教e1,教f1日f1
残存性,１ア,情報基礎,情報の、よそに伝えても手元に残り続けるという性質,0.376 ,0.079 ,,,実11実12実13実14,実S1実S2,,,,,,,,,,,,
伝播性,１ア,情報基礎,情報の、ものに比べて伝わるのが速いという性質,0.376 ,0.079 ,,,実11実12実13実14,実S1実S2,,,,,,,,,,,,
複製性,１ア,情報基礎,情報の、複製が容易であるという性質,0.376 ,0.079 ,,,実11実12実13実14,実S1実S2,,,,,,,,,,,,
1次情報|一次情報,１ア,情報基礎,起きたところから直接入手した情報　,0.568 ,0.580 ,0.563 ,東21,東12実13実14数11数12,東S2数S1数S2第S1数s1,数J1第J1数j1,東s1数s1第s1,数j1,実A1実A2開A1啓A1実a1実d1,実B1実b1実e1,実C1実c1実f1オf1,実a1開a1教a1実d1教d1,実b1実e1,実c1実f1オf1,実d1開d1教d1,実e1,実f1オf1
2次情報|二次情報,１ア,情報基礎,間接的に／又聞きによって入手した情報,0.452 ,0.580 ,0.571 ,東21,実13実14数11数12,東S2数S1数S2第S1数s1,数J1第J1数j1,東s1数s1第s1,数j1,実A1実A2開A1啓A1第A1実a1実d1,実B1実b1実e1,実C1実c1実f1オf1,実a1開a1教a1実d1教d1,実b1実e1,実c1実f1オf1,実d1開d1教d1,実e1,実f1オf1
信ぴょう性|信憑性,１ア;２ア,情報基礎,情報の信頼できる度合い,0.767 ,0.799 ,0.445 ,実21,東12実11実12実13実14開11数12日11,東S1東S2実S1実S2数S1数S2日S1日S2第S1日s1日s2,実J2数J1第J1,東s1実s1実s2日s1日s2第s1,実j2,東A1実A2清a1日a1,,日C1,清a1日a1,,,清d1,,
自己評価,１ア,問題解決,自分の活動を自分で評価すること,0.376 ,0.258 ,0.414 ,,実13開11,日s1,実J2,日s1,実j2,東A1日a1,,日C1実c1,日a1,日b1,実c1日c1,日d1,日e1,日f1
PDCAサイクル,１ア,問題解決,Plan、Do、Check、Actを反復して問題解決してゆく様,0.721 ,0.678 ,0.057 ,東21,東12実11実12実13数11数12日11日12,東S1数S1数S2日S1日S2第S1数s1日s1,東J1実J2数J1日J1第J1,開s1数s1日s1,東j1実j2,実A1,,,,,,,,
問題の解決|問題解決,１ア,問題解決,問題を解決すること,0.767 ,0.613 ,0.861 ,実21,東11実11実12実14開11日11日12第11,開S1数S1日S1日S2第S1日s1日s2,実J1実J2数J1第J1,開s1日s1日s2,実j1実j2,東A1開A1教A1啓A1啓A2数A1実a1清a1日a1実d1一d1,実B1開B1数B1日B1第B1実b1教b1実e1オe1,啓C1,実a1開a1教a1清a1数a1日a1東d1実d1教d1一d1オd1,実b1開b1教b1数b1実e1教e1オe1,,東d1実d1開d1教d1清d1一d1オd1,実e1開e1教e1清e1オe1,
イメージマップ,１ア,問題解決,頭の中にあるイメージを絵や図にしたもの,0.376 ,0.238 ,0.158 ,,日11第11,日s1,日J1,日s1,,日a1,,,日a1,,,,,
プランニングシート,１ア,問題解決,計画を、図、写真、説明などを配置してまとめたもの,0.376 ,0.238 ,0.057 ,,実11実12実13実14,実S2,,実s2,,実A1,,,,,,,,
ブレインストーミング|ブレーンストーミング,１ア,問題解決,アイデアを出すための話し合いで、なんでも思いついたことを言い批判はしないなどのルールがある,0.805 ,1.000 ,0.551 ,東21実21,東11東12実13実14数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,東A1実A1開A1教A1啓A2数A1,開B1日B1,実C1開C1日C1実c1,教a1東d1オd1,,実c1開c1日c1,東d1オd1,,日f1
MECE,１ア,問題解決,Mutually Exclusive、Collectively Exhaustive。重複せず漏れが無いように分解してゆくこと,0.376 ,0.346 ,,東21,東12日11,,日J1日j1,,日j1,,,,,,,,,
レポート,１ア,問題解決,ある事柄についてまとめた文書,0.426 ,0.408 ,0.413 ,,開11日11日12,数S1日S1日S2日s1,数J1日J1第J1,日s1,,教A1日a1,実B1,,日a1暁d1,,,開d1暁d1,,
プロジェクタ,１ア,問題解決,コンピュータの画面などをスクリーンに投影する機器,0.376 ,0.258 ,0.518 ,東21,東12第11,日S2,東J1,東s1,東j1,東A1実A2数A1日A1実a1日a1実d1,,,実a1日a1実d1,,啓f1,実d1日d1,,啓f1
ルーブリック,１ア,問題解決,評価の観点(規準)と、その尺度を数段階に分けて記述語で示した評価基準とで構成される学習達成度評価（評価の基準から構成→評価基準とで構成[筧]）,0.452 ,,,東21,東11東12実11実12,,,,,,,,,,,,,
協働,１ア,問題解決,同じ目的のために複数の人が対等な立場で協力して働くこと,0.376 ,0.332 ,0.273 ,,東12開11,東S1開S1,,開s1,,日a1,,,日a1,,,日d1,,
KJ法,１ア;２イ,問題解決,アイデアをまとめる手法で、キーワードなどを紙に書いて配置してゆく,0.767 ,0.830 ,0.328 ,実21,東11東12実13実14数11数12日12第11,東S1東S2実S1実S2開S1数S1数S2日S1第S1日s1,東J1実J1実J2数J1第J1,東s1実s1実s2開s1日s1第s1,東j1実j1実j2,東A1実A1教A1,日B1,実C1第C1実c1,,,実c1,,,
ロジックツリー,１ア;２イ,問題解決,事柄に対して、問題や原因などをツリー状に書き出して問題解決する手法,0.541 ,0.442 ,,,東11東12日11第11,日S1第S1,日J1第J1日j1,,日j1,,,,,,,,,
PERT|PERT図,１ア;２イ,問題解決,タスク間の依存関係を表現する図法,0.473 ,0.239 ,,東21日21,東11日11第11,第S1,日J1第J1,,,,,,,,,,,
ガントチャート,１ア;２イ,問題解決,時間を横軸に、作業内容を縦軸に配した棒グラフ状の一覧表,0.628 ,0.405 ,,東21実21日21,東11東12実13日11第11,第S1,東J1日J1第J1,開s1,,,,,,,,,,
